Year/Month,County,Unemployment Rate,National Unemployment,State Unemployment
10/01/2002,Asotin County                                               ,6%,5.3%,6.4%
10/01/2002,Grays Harbor County                                         ,8.4%,5.3%,6.4%
10/01/2002,Tacoma MSA                                                  ,7%,5.3%,6.4%
10/01/2002,Lewis County                                                ,7.7%,5.3%,6.4%
10/01/2002,Whitman County                                              ,3.9%,5.3%,6.4%
10/01/2002,Snohomish County                                            ,7%,5.3%,6.4%
10/01/2002,Stevens County                                              ,7.3%,5.3%,6.4%
10/01/2002,Douglas County                                              ,4.4%,5.3%,6.4%
10/01/2002,Columbia County                                             ,9.7%,5.3%,6.4%
10/01/2002,Wenatchee MSA                                               ,5%,5.3%,6.4%
10/01/2002,Benton County                                               ,5.1%,5.3%,6.4%
10/01/2002,Grant County                                                ,5.6%,5.3%,6.4%
10/01/2002,Chelan County                                               ,5.3%,5.3%,6.4%
10/01/2002,Pend Oreille County                                         ,7.6%,5.3%,6.4%
10/01/2002,Whatcom County                                              ,5.6%,5.3%,6.4%
10/01/2002,Lincoln County                                              ,5.8%,5.3%,6.4%
10/01/2002,Garfield County                                             ,5.2%,5.3%,6.4%
10/01/2002,Seattle-Bellevue-Everett MSA                                ,6.3%,5.3%,6.4%
10/01/2002,Bellingham MSA                                              ,5.6%,5.3%,6.4%
10/01/2002,Clallam County                                              ,7.1%,5.3%,6.4%
10/01/2002,Kittitas County                                             ,5.4%,5.3%,6.4%
10/01/2002,Skamania County                                             ,7.4%,5.3%,6.4%
10/01/2002,Spokane MSA                                                 ,6.2%,5.3%,6.4%
10/01/2002,Mason County                                                ,6.9%,5.3%,6.4%
10/01/2002,Pierce County                                               ,7%,5.3%,6.4%
10/01/2002,Walla Walla County                                          ,5.1%,5.3%,6.4%
10/01/2002,Bremerton-Silverdale MSA                                    ,5.9%,5.3%,6.4%
10/01/2002,Klickitat County                                            ,7.6%,5.3%,6.4%
10/01/2002,Spokane County                                              ,6.2%,5.3%,6.4%
10/01/2002,Kitsap County                                               ,5.9%,5.3%,6.4%
10/01/2002,Wahkiakum County                                            ,8.2%,5.3%,6.4%
11/01/2002,Bremerton-Silverdale MSA                                    ,6.4%,5.6%,7.3%
11/01/2002,Thurston County                                             ,6.1%,5.6%,7.3%
11/01/2002,Bellingham MSA                                              ,6.3%,5.6%,7.3%
11/01/2002,Lincoln County                                              ,6.9%,5.6%,7.3%
11/01/2002,San Juan County                                             ,6%,5.6%,7.3%
11/01/2002,Mason County                                                ,7.9%,5.6%,7.3%
11/01/2002,Island County                                               ,6.9%,5.6%,7.3%
11/01/2002,Garfield County                                             ,6.5%,5.6%,7.3%
11/01/2002,Spokane MSA                                                 ,6.9%,5.6%,7.3%
11/01/2002,Okanogan County                                             ,10.6%,5.6%,7.3%
11/01/2002,Clark County                                                ,8.5%,5.6%,7.3%
11/01/2002,Benton County                                               ,6.4%,5.6%,7.3%
11/01/2002,Jefferson County                                            ,7.7%,5.6%,7.3%
11/01/2002,Grant County                                                ,9.4%,5.6%,7.3%
11/01/2002,Wahkiakum County                                            ,9.7%,5.6%,7.3%
11/01/2002,Pend Oreille County                                         ,8.8%,5.6%,7.3%
11/01/2002,Clallam County                                              ,8.2%,5.6%,7.3%
11/01/2002,Stevens County                                              ,8.6%,5.6%,7.3%
11/01/2002,Mount Vernon-Anacortes MSA                                  ,8%,5.6%,7.3%
11/01/2002,Lewis County                                                ,8.7%,5.6%,7.3%
11/01/2002,Pacific County                                              ,9.4%,5.6%,7.3%
11/01/2002,Cowlitz County                                              ,9.8%,5.6%,7.3%
11/01/2002,Douglas County                                              ,7.2%,5.6%,7.3%
11/01/2002,Yakima MSA                                                  ,9.9%,5.6%,7.3%
11/01/2002,Walla Walla County                                          ,6.4%,5.6%,7.3%
11/01/2002,Adams County                                                ,10.9%,5.6%,7.3%
11/01/2002,Kennewick-Richland-Pasco MSA                                ,7.2%,5.6%,7.3%
11/01/2002,Skagit County                                               ,8%,5.6%,7.3%
11/01/2002,Skamania County                                             ,8.5%,5.6%,7.3%
11/01/2002,Franklin County                                             ,10%,5.6%,7.3%
11/01/2002,Columbia County                                             ,10.8%,5.6%,7.3%
11/01/2002,Ferry County                                                ,10.1%,5.6%,7.3%
11/01/2002,Whatcom County                                              ,6.3%,5.6%,7.3%
11/01/2002,Grays Harbor County                                         ,9.2%,5.6%,7.3%
11/01/2002,Whitman County                                              ,4.5%,5.6%,7.3%
11/01/2002,Seattle-Bellevue-Everett MSA                                ,6.7%,5.6%,7.3%
11/01/2002,Wenatchee MSA                                               ,8.2%,5.6%,7.3%
11/01/2002,Snohomish County                                            ,7.4%,5.6%,7.3%
11/01/2002,Klickitat County                                            ,10.2%,5.6%,7.3%
11/01/2002,Chelan County                                               ,8.6%,5.6%,7.3%
11/01/2002,Tacoma MSA                                                  ,7.6%,5.6%,7.3%
11/01/2002,King County                                                 ,6.5%,5.6%,7.3%
11/01/2002,Asotin County                                               ,6.5%,5.6%,7.3%
11/01/2002,Kitsap County                                               ,6.4%,5.6%,7.3%
11/01/2002,Yakima County                                               ,9.9%,5.6%,7.3%
11/01/2002,Olympia MSA                                                 ,6.1%,5.6%,7.3%
11/01/2002,Pierce County                                               ,7.6%,5.6%,7.3%
11/01/2002,Kittitas County                                             ,6.3%,5.6%,7.3%
11/01/2002,Longview MSA                                                ,9.8%,5.6%,7.3%
11/01/2002,Spokane County                                              ,6.9%,5.6%,7.3%
12/01/2002,Clark County                                                ,8.2%,5.7%,7.4%
12/01/2002,Benton County                                               ,6.7%,5.7%,7.4%
12/01/2002,King County                                                 ,6.2%,5.7%,7.4%
12/01/2002,Okanogan County                                             ,12%,5.7%,7.4%
12/01/2002,Asotin County                                               ,5.8%,5.7%,7.4%
12/01/2002,Thurston County                                             ,6.2%,5.7%,7.4%
12/01/2002,Jefferson County                                            ,7.9%,5.7%,7.4%
12/01/2002,Douglas County                                              ,8.5%,5.7%,7.4%
12/01/2002,Whatcom County                                              ,6.4%,5.7%,7.4%
12/01/2002,Pierce County                                               ,7.7%,5.7%,7.4%
12/01/2002,Olympia MSA                                                 ,6.2%,5.7%,7.4%
12/01/2002,Skagit County                                               ,8.4%,5.7%,7.4%
12/01/2002,Tacoma MSA                                                  ,7.7%,5.7%,7.4%
12/01/2002,Kennewick-Richland-Pasco MSA                                ,7.8%,5.7%,7.4%
12/01/2002,Kittitas County                                             ,7.9%,5.7%,7.4%
12/01/2002,Pacific County                                              ,9.7%,5.7%,7.4%
12/01/2002,Bellingham MSA                                              ,6.4%,5.7%,7.4%
12/01/2002,Cowlitz County                                              ,9.9%,5.7%,7.4%
12/01/2002,Franklin County                                             ,11.6%,5.7%,7.4%
12/01/2002,Wenatchee MSA                                               ,9.2%,5.7%,7.4%
12/01/2002,Island County                                               ,6.9%,5.7%,7.4%
12/01/2002,Walla Walla County                                          ,7.1%,5.7%,7.4%
12/01/2002,San Juan County                                             ,7%,5.7%,7.4%
12/01/2002,Adams County                                                ,13.8%,5.7%,7.4%
12/01/2002,Skamania County                                             ,10%,5.7%,7.4%
12/01/2002,Pend Oreille County                                         ,9.3%,5.7%,7.4%
12/01/2002,Longview MSA                                                ,9.9%,5.7%,7.4%
12/01/2002,Spokane MSA                                                 ,7.3%,5.7%,7.4%
12/01/2002,Stevens County                                              ,9.3%,5.7%,7.4%
12/01/2002,Wahkiakum County                                            ,10.4%,5.7%,7.4%
12/01/2002,Seattle-Bellevue-Everett MSA                                ,6.4%,5.7%,7.4%
12/01/2002,Columbia County                                             ,12.3%,5.7%,7.4%
12/01/2002,Spokane County                                              ,7.3%,5.7%,7.4%
12/01/2002,Lincoln County                                              ,7.3%,5.7%,7.4%
12/01/2002,Mason County                                                ,8.2%,5.7%,7.4%
12/01/2002,Ferry County                                                ,11%,5.7%,7.4%
12/01/2002,Yakima County                                               ,11.5%,5.7%,7.4%
12/01/2002,Mount Vernon-Anacortes MSA                                  ,8.4%,5.7%,7.4%
12/01/2002,Chelan County                                               ,9.5%,5.7%,7.4%
12/01/2002,Bremerton-Silverdale MSA                                    ,6.6%,5.7%,7.4%
12/01/2002,Klickitat County                                            ,11.7%,5.7%,7.4%
12/01/2002,Garfield County                                             ,6.7%,5.7%,7.4%
12/01/2002,Snohomish County                                            ,7.1%,5.7%,7.4%
12/01/2002,Yakima MSA                                                  ,11.5%,5.7%,7.4%
12/01/2002,Whitman County                                              ,4.4%,5.7%,7.4%
12/01/2002,Lewis County                                                ,9.1%,5.7%,7.4%
12/01/2002,Grant County                                                ,11.7%,5.7%,7.4%
12/01/2002,Grays Harbor County                                         ,9.5%,5.7%,7.4%
12/01/2002,Clallam County                                              ,9.3%,5.7%,7.4%
12/01/2002,Kitsap County                                               ,6.6%,5.7%,7.4%
01/01/2003,Whitman County                                              ,5.3%,6.5%,8.1%
01/01/2003,Wahkiakum County                                            ,11.5%,6.5%,8.1%
01/01/2003,Grays Harbor County                                         ,10.2%,6.5%,8.1%
01/01/2003,Pierce County                                               ,8.5%,6.5%,8.1%
01/01/2003,Clark County                                                ,10.1%,6.5%,8.1%
01/01/2003,Skamania County                                             ,12%,6.5%,8.1%
01/01/2003,Island County                                               ,7.7%,6.5%,8.1%
01/01/2003,Garfield County                                             ,10%,6.5%,8.1%
01/01/2003,San Juan County                                             ,8.1%,6.5%,8.1%
01/01/2003,Cowlitz County                                              ,10.8%,6.5%,8.1%
01/01/2003,Adams County                                                ,14.3%,6.5%,8.1%
01/01/2003,Clallam County                                              ,10.2%,6.5%,8.1%
01/01/2003,Yakima County                                               ,12.1%,6.5%,8.1%
01/01/2003,Jefferson County                                            ,9%,6.5%,8.1%
01/01/2003,Yakima MSA                                                  ,12.1%,6.5%,8.1%
01/01/2003,Ferry County                                                ,14.5%,6.5%,8.1%
01/01/2003,King County                                                 ,6.4%,6.5%,8.1%
01/01/2003,Wenatchee MSA                                               ,10%,6.5%,8.1%
01/01/2003,Pend Oreille County                                         ,12.2%,6.5%,8.1%
01/01/2003,Chelan County                                               ,10.3%,6.5%,8.1%
01/01/2003,Thurston County                                             ,6.8%,6.5%,8.1%
01/01/2003,Kitsap County                                               ,7.4%,6.5%,8.1%
01/01/2003,Tacoma MSA                                                  ,8.5%,6.5%,8.1%
01/01/2003,Whatcom County                                              ,7.2%,6.5%,8.1%
01/01/2003,Snohomish County                                            ,7.2%,6.5%,8.1%
01/01/2003,Longview MSA                                                ,10.8%,6.5%,8.1%
01/01/2003,Bellingham MSA                                              ,7.2%,6.5%,8.1%
01/01/2003,Kittitas County                                             ,8.9%,6.5%,8.1%
01/01/2003,Spokane MSA                                                 ,8.5%,6.5%,8.1%
01/01/2003,Franklin County                                             ,12.5%,6.5%,8.1%
01/01/2003,Benton County                                               ,7.8%,6.5%,8.1%
01/01/2003,Walla Walla County                                          ,9%,6.5%,8.1%
01/01/2003,Seattle-Bellevue-Everett MSA                                ,6.6%,6.5%,8.1%
01/01/2003,Klickitat County                                            ,14.3%,6.5%,8.1%
01/01/2003,Pacific County                                              ,10%,6.5%,8.1%
01/01/2003,Okanogan County                                             ,13.7%,6.5%,8.1%
01/01/2003,Asotin County                                               ,9.1%,6.5%,8.1%
01/01/2003,Douglas County                                              ,9.5%,6.5%,8.1%
01/01/2003,Olympia MSA                                                 ,6.8%,6.5%,8.1%
01/01/2003,Stevens County                                              ,11.3%,6.5%,8.1%
01/01/2003,Lewis County                                                ,10.4%,6.5%,8.1%
01/01/2003,Bremerton-Silverdale MSA                                    ,7.4%,6.5%,8.1%
01/01/2003,Spokane County                                              ,8.5%,6.5%,8.1%
01/01/2003,Mount Vernon-Anacortes MSA                                  ,9.1%,6.5%,8.1%
01/01/2003,Lincoln County                                              ,8.4%,6.5%,8.1%
01/01/2003,Skagit County                                               ,9.1%,6.5%,8.1%
01/01/2003,Grant County                                                ,12.8%,6.5%,8.1%
01/01/2003,Mason County                                                ,9.4%,6.5%,8.1%
01/01/2003,Columbia County                                             ,12.6%,6.5%,8.1%
01/01/2003,Kennewick-Richland-Pasco MSA                                ,9%,6.5%,8.1%
02/01/2003,Benton County                                               ,7.7%,6.4%,8.2%
02/01/2003,Skamania County                                             ,11.6%,6.4%,8.2%
02/01/2003,San Juan County                                             ,8.2%,6.4%,8.2%
02/01/2003,Adams County                                                ,12.6%,6.4%,8.2%
02/01/2003,Okanogan County                                             ,13.8%,6.4%,8.2%
02/01/2003,Olympia MSA                                                 ,6.8%,6.4%,8.2%
02/01/2003,Walla Walla County                                          ,8.7%,6.4%,8.2%
02/01/2003,Tacoma MSA                                                  ,8.6%,6.4%,8.2%
02/01/2003,Douglas County                                              ,9.2%,6.4%,8.2%
02/01/2003,Grant County                                                ,12.2%,6.4%,8.2%
02/01/2003,Mount Vernon-Anacortes MSA                                  ,8.9%,6.4%,8.2%
02/01/2003,Clark County                                                ,10.1%,6.4%,8.2%
02/01/2003,Bellingham MSA                                              ,7.1%,6.4%,8.2%
02/01/2003,Lewis County                                                ,10.3%,6.4%,8.2%
02/01/2003,Asotin County                                               ,8.8%,6.4%,8.2%
02/01/2003,Kennewick-Richland-Pasco MSA                                ,8.4%,6.4%,8.2%
02/01/2003,Mason County                                                ,9.6%,6.4%,8.2%
02/01/2003,Yakima MSA                                                  ,11.5%,6.4%,8.2%
02/01/2003,Whitman County                                              ,5.1%,6.4%,8.2%
02/01/2003,Klickitat County                                            ,13.8%,6.4%,8.2%
02/01/2003,Pend Oreille County                                         ,13%,6.4%,8.2%
02/01/2003,King County                                                 ,6.8%,6.4%,8.2%
02/01/2003,Chelan County                                               ,10.4%,6.4%,8.2%
02/01/2003,Spokane County                                              ,8.5%,6.4%,8.2%
02/01/2003,Spokane MSA                                                 ,8.5%,6.4%,8.2%
02/01/2003,Pacific County                                              ,10.2%,6.4%,8.2%
02/01/2003,Stevens County                                              ,11.7%,6.4%,8.2%
02/01/2003,Island County                                               ,7.8%,6.4%,8.2%
02/01/2003,Franklin County                                             ,10.6%,6.4%,8.2%
02/01/2003,Grays Harbor County                                         ,10.3%,6.4%,8.2%
02/01/2003,Wenatchee MSA                                               ,10%,6.4%,8.2%
02/01/2003,Longview MSA                                                ,10.9%,6.4%,8.2%
02/01/2003,Yakima County                                               ,11.5%,6.4%,8.2%
02/01/2003,Garfield County                                             ,9.8%,6.4%,8.2%
02/01/2003,Skagit County                                               ,8.9%,6.4%,8.2%
02/01/2003,Bremerton-Silverdale MSA                                    ,7.5%,6.4%,8.2%
02/01/2003,Ferry County                                                ,16.9%,6.4%,8.2%
02/01/2003,Jefferson County                                            ,8.8%,6.4%,8.2%
02/01/2003,Wahkiakum County                                            ,10.3%,6.4%,8.2%
02/01/2003,Whatcom County                                              ,7.1%,6.4%,8.2%
02/01/2003,Seattle-Bellevue-Everett MSA                                ,7.1%,6.4%,8.2%
02/01/2003,Cowlitz County                                              ,10.9%,6.4%,8.2%
02/01/2003,Columbia County                                             ,12.5%,6.4%,8.2%
02/01/2003,Kitsap County                                               ,7.5%,6.4%,8.2%
02/01/2003,Snohomish County                                            ,7.7%,6.4%,8.2%
02/01/2003,Lincoln County                                              ,8.3%,6.4%,8.2%
02/01/2003,Thurston County                                             ,6.8%,6.4%,8.2%
02/01/2003,Clallam County                                              ,9.9%,6.4%,8.2%
02/01/2003,Pierce County                                               ,8.6%,6.4%,8.2%
02/01/2003,Kittitas County                                             ,9.3%,6.4%,8.2%
03/01/2003,Ferry County                                                ,17.1%,6.2%,7.9%
03/01/2003,Franklin County                                             ,9.1%,6.2%,7.9%
03/01/2003,Pacific County                                              ,10.5%,6.2%,7.9%
03/01/2003,Pierce County                                               ,8.3%,6.2%,7.9%
03/01/2003,Douglas County                                              ,8%,6.2%,7.9%
03/01/2003,Stevens County                                              ,11.4%,6.2%,7.9%
03/01/2003,Okanogan County                                             ,12.5%,6.2%,7.9%
03/01/2003,Kitsap County                                               ,7.1%,6.2%,7.9%
03/01/2003,Seattle-Bellevue-Everett MSA                                ,7%,6.2%,7.9%
03/01/2003,Benton County                                               ,7%,6.2%,7.9%
03/01/2003,Adams County                                                ,10.1%,6.2%,7.9%
03/01/2003,Jefferson County                                            ,8.1%,6.2%,7.9%
03/01/2003,Cowlitz County                                              ,10.2%,6.2%,7.9%
03/01/2003,Pend Oreille County                                         ,12.8%,6.2%,7.9%
03/01/2003,Thurston County                                             ,6.6%,6.2%,7.9%
03/01/2003,Garfield County                                             ,8.8%,6.2%,7.9%
03/01/2003,King County                                                 ,6.8%,6.2%,7.9%
03/01/2003,Skamania County                                             ,10.8%,6.2%,7.9%
03/01/2003,Chelan County                                               ,9.3%,6.2%,7.9%
03/01/2003,Spokane County                                              ,7.9%,6.2%,7.9%
03/01/2003,Tacoma MSA                                                  ,8.3%,6.2%,7.9%
03/01/2003,Yakima MSA                                                  ,10.4%,6.2%,7.9%
03/01/2003,Clallam County                                              ,9.3%,6.2%,7.9%
03/01/2003,Clark County                                                ,10%,6.2%,7.9%
03/01/2003,Whatcom County                                              ,7.1%,6.2%,7.9%
03/01/2003,Kennewick-Richland-Pasco MSA                                ,7.5%,6.2%,7.9%
03/01/2003,Columbia County                                             ,12%,6.2%,7.9%
03/01/2003,Walla Walla County                                          ,7.9%,6.2%,7.9%
03/01/2003,Grays Harbor County                                         ,10.3%,6.2%,7.9%
03/01/2003,Grant County                                                ,10.4%,6.2%,7.9%
03/01/2003,Spokane MSA                                                 ,7.9%,6.2%,7.9%
03/01/2003,Snohomish County                                            ,7.6%,6.2%,7.9%
03/01/2003,Whitman County                                              ,4.9%,6.2%,7.9%
03/01/2003,Longview MSA                                                ,10.2%,6.2%,7.9%
03/01/2003,San Juan County                                             ,7%,6.2%,7.9%
03/01/2003,Island County                                               ,7.5%,6.2%,7.9%
03/01/2003,Mount Vernon-Anacortes MSA                                  ,8.6%,6.2%,7.9%
03/01/2003,Yakima County                                               ,10.4%,6.2%,7.9%
03/01/2003,Lewis County                                                ,10.3%,6.2%,7.9%
03/01/2003,Klickitat County                                            ,12.7%,6.2%,7.9%
03/01/2003,Lincoln County                                              ,7.4%,6.2%,7.9%
03/01/2003,Wahkiakum County                                            ,10.6%,6.2%,7.9%
03/01/2003,Bellingham MSA                                              ,7.1%,6.2%,7.9%
03/01/2003,Wenatchee MSA                                               ,8.9%,6.2%,7.9%
03/01/2003,Olympia MSA                                                 ,6.6%,6.2%,7.9%
03/01/2003,Skagit County                                               ,8.6%,6.2%,7.9%
03/01/2003,Mason County                                                ,9.3%,6.2%,7.9%
03/01/2003,Asotin County                                               ,8%,6.2%,7.9%
03/01/2003,Kittitas County                                             ,8.6%,6.2%,7.9%
03/01/2003,Bremerton-Silverdale MSA                                    ,7.1%,6.2%,7.9%
04/01/2003,Columbia County                                             ,8.3%,5.8%,7.5%
04/01/2003,Island County                                               ,7.2%,5.8%,7.5%
04/01/2003,Wenatchee MSA                                               ,9.3%,5.8%,7.5%
04/01/2003,Mason County                                                ,8.9%,5.8%,7.5%
04/01/2003,Pend Oreille County                                         ,11.6%,5.8%,7.5%
04/01/2003,Bremerton-Silverdale MSA                                    ,6.9%,5.8%,7.5%
04/01/2003,King County                                                 ,6.1%,5.8%,7.5%
04/01/2003,Pierce County                                               ,8.2%,5.8%,7.5%
04/01/2003,Lincoln County                                              ,6.9%,5.8%,7.5%
04/01/2003,San Juan County                                             ,6%,5.8%,7.5%
04/01/2003,Clark County                                                ,10.1%,5.8%,7.5%
04/01/2003,Adams County                                                ,8.5%,5.8%,7.5%
04/01/2003,Lewis County                                                ,9.8%,5.8%,7.5%
04/01/2003,Benton County                                               ,6.7%,5.8%,7.5%
04/01/2003,Skagit County                                               ,8.4%,5.8%,7.5%
04/01/2003,Tacoma MSA                                                  ,8.2%,5.8%,7.5%
04/01/2003,Douglas County                                              ,8.4%,5.8%,7.5%
04/01/2003,Longview MSA                                                ,10.3%,5.8%,7.5%
04/01/2003,Garfield County                                             ,7%,5.8%,7.5%
04/01/2003,Skamania County                                             ,10.3%,5.8%,7.5%
04/01/2003,Walla Walla County                                          ,7.6%,5.8%,7.5%
04/01/2003,Klickitat County                                            ,12.3%,5.8%,7.5%
04/01/2003,Clallam County                                              ,8.8%,5.8%,7.5%
04/01/2003,Snohomish County                                            ,6.8%,5.8%,7.5%
04/01/2003,Kittitas County                                             ,8.1%,5.8%,7.5%
04/01/2003,Grant County                                                ,9.5%,5.8%,7.5%
04/01/2003,Mount Vernon-Anacortes MSA                                  ,8.4%,5.8%,7.5%
04/01/2003,Franklin County                                             ,8.7%,5.8%,7.5%
04/01/2003,Ferry County                                                ,16%,5.8%,7.5%
04/01/2003,Spokane MSA                                                 ,7.5%,5.8%,7.5%
04/01/2003,Bellingham MSA                                              ,6.9%,5.8%,7.5%
04/01/2003,Kitsap County                                               ,6.9%,5.8%,7.5%
04/01/2003,Olympia MSA                                                 ,6.3%,5.8%,7.5%
04/01/2003,Spokane County                                              ,7.5%,5.8%,7.5%
04/01/2003,Stevens County                                              ,11.2%,5.8%,7.5%
04/01/2003,Seattle-Bellevue-Everett MSA                                ,6.3%,5.8%,7.5%
04/01/2003,Chelan County                                               ,9.8%,5.8%,7.5%
04/01/2003,Yakima County                                               ,10.5%,5.8%,7.5%
04/01/2003,Thurston County                                             ,6.3%,5.8%,7.5%
04/01/2003,Jefferson County                                            ,7.4%,5.8%,7.5%
04/01/2003,Grays Harbor County                                         ,9.8%,5.8%,7.5%
04/01/2003,Whitman County                                              ,4.8%,5.8%,7.5%
04/01/2003,Asotin County                                               ,7.5%,5.8%,7.5%
04/01/2003,Okanogan County                                             ,11.2%,5.8%,7.5%
04/01/2003,Kennewick-Richland-Pasco MSA                                ,7.2%,5.8%,7.5%
04/01/2003,Whatcom County                                              ,6.9%,5.8%,7.5%
04/01/2003,Yakima MSA                                                  ,10.5%,5.8%,7.5%
04/01/2003,Cowlitz County                                              ,10.3%,5.8%,7.5%
04/01/2003,Wahkiakum County                                            ,10.7%,5.8%,7.5%
04/01/2003,Pacific County                                              ,9.9%,5.8%,7.5%
05/01/2003,Yakima MSA                                                  ,9%,5.8%,7.3%
05/01/2003,Whatcom County                                              ,6.5%,5.8%,7.3%
05/01/2003,Yakima County                                               ,9%,5.8%,7.3%
05/01/2003,Mount Vernon-Anacortes MSA                                  ,7.9%,5.8%,7.3%
05/01/2003,Jefferson County                                            ,7%,5.8%,7.3%
05/01/2003,Walla Walla County                                          ,6.2%,5.8%,7.3%
05/01/2003,Snohomish County                                            ,7.2%,5.8%,7.3%
05/01/2003,Ferry County                                                ,14.1%,5.8%,7.3%
05/01/2003,Whitman County                                              ,4.7%,5.8%,7.3%
05/01/2003,Bremerton-Silverdale MSA                                    ,6.7%,5.8%,7.3%
05/01/2003,Columbia County                                             ,6.5%,5.8%,7.3%
05/01/2003,Asotin County                                               ,6.5%,5.8%,7.3%
05/01/2003,Lewis County                                                ,8.9%,5.8%,7.3%
05/01/2003,Bellingham MSA                                              ,6.5%,5.8%,7.3%
05/01/2003,King County                                                 ,6.6%,5.8%,7.3%
05/01/2003,Mason County                                                ,8.3%,5.8%,7.3%
05/01/2003,Skamania County                                             ,9.2%,5.8%,7.3%
05/01/2003,Wenatchee MSA                                               ,8.4%,5.8%,7.3%
05/01/2003,Kitsap County                                               ,6.7%,5.8%,7.3%
05/01/2003,Olympia MSA                                                 ,6.1%,5.8%,7.3%
05/01/2003,Lincoln County                                              ,6.3%,5.8%,7.3%
05/01/2003,Skagit County                                               ,7.9%,5.8%,7.3%
05/01/2003,Kennewick-Richland-Pasco MSA                                ,6.5%,5.8%,7.3%
05/01/2003,Pend Oreille County                                         ,9.2%,5.8%,7.3%
05/01/2003,Clark County                                                ,9.2%,5.8%,7.3%
05/01/2003,Douglas County                                              ,8.1%,5.8%,7.3%
05/01/2003,Chelan County                                               ,8.6%,5.8%,7.3%
05/01/2003,Seattle-Bellevue-Everett MSA                                ,6.7%,5.8%,7.3%
05/01/2003,Pacific County                                              ,9.1%,5.8%,7.3%
05/01/2003,Adams County                                                ,7.9%,5.8%,7.3%
05/01/2003,Kittitas County                                             ,7.3%,5.8%,7.3%
05/01/2003,San Juan County                                             ,5.3%,5.8%,7.3%
05/01/2003,Spokane MSA                                                 ,7.1%,5.8%,7.3%
05/01/2003,Klickitat County                                            ,12.1%,5.8%,7.3%
05/01/2003,Tacoma MSA                                                  ,7.9%,5.8%,7.3%
05/01/2003,Wahkiakum County                                            ,9.3%,5.8%,7.3%
05/01/2003,Garfield County                                             ,6.1%,5.8%,7.3%
05/01/2003,Pierce County                                               ,7.9%,5.8%,7.3%
05/01/2003,Benton County                                               ,6.3%,5.8%,7.3%
05/01/2003,Grant County                                                ,9.5%,5.8%,7.3%
05/01/2003,Longview MSA                                                ,9.7%,5.8%,7.3%
05/01/2003,Thurston County                                             ,6.1%,5.8%,7.3%
05/01/2003,Franklin County                                             ,7.1%,5.8%,7.3%
05/01/2003,Grays Harbor County                                         ,9%,5.8%,7.3%
05/01/2003,Stevens County                                              ,9.2%,5.8%,7.3%
05/01/2003,Cowlitz County                                              ,9.7%,5.8%,7.3%
05/01/2003,Okanogan County                                             ,9.6%,5.8%,7.3%
05/01/2003,Island County                                               ,7.2%,5.8%,7.3%
05/01/2003,Spokane County                                              ,7.1%,5.8%,7.3%
05/01/2003,Clallam County                                              ,8.4%,5.8%,7.3%
06/01/2003,Klickitat County                                            ,12.3%,6.5%,7.8%
06/01/2003,Adams County                                                ,7.8%,6.5%,7.8%
06/01/2003,Asotin County                                               ,7.2%,6.5%,7.8%
06/01/2003,Benton County                                               ,7%,6.5%,7.8%
06/01/2003,Chelan County                                               ,8.4%,6.5%,7.8%
06/01/2003,Clallam County                                              ,8.9%,6.5%,7.8%
06/01/2003,Clark County                                                ,9.9%,6.5%,7.8%
06/01/2003,Columbia County                                             ,7.9%,6.5%,7.8%
06/01/2003,Cowlitz County                                              ,10.7%,6.5%,7.8%
06/01/2003,Douglas County                                              ,8.2%,6.5%,7.8%
06/01/2003,Ferry County                                                ,13.5%,6.5%,7.8%
06/01/2003,Franklin County                                             ,7.4%,6.5%,7.8%
06/01/2003,Garfield County                                             ,6.7%,6.5%,7.8%
06/01/2003,Grant County                                                ,8.5%,6.5%,7.8%
06/01/2003,Grays Harbor County                                         ,10%,6.5%,7.8%
06/01/2003,Island County                                               ,8.4%,6.5%,7.8%
06/01/2003,Jefferson County                                            ,8%,6.5%,7.8%
06/01/2003,King County                                                 ,6.6%,6.5%,7.8%
06/01/2003,Kitsap County                                               ,7.6%,6.5%,7.8%
06/01/2003,Kittitas County                                             ,7.9%,6.5%,7.8%
06/01/2003,Lewis County                                                ,10%,6.5%,7.8%
06/01/2003,Lincoln County                                              ,7.2%,6.5%,7.8%
06/01/2003,Mason County                                                ,9.3%,6.5%,7.8%
06/01/2003,Okanogan County                                             ,8.8%,6.5%,7.8%
06/01/2003,Pacific County                                              ,9.5%,6.5%,7.8%
06/01/2003,Pend Oreille County                                         ,10%,6.5%,7.8%
06/01/2003,Pierce County                                               ,8.9%,6.5%,7.8%
06/01/2003,San Juan County                                             ,5.7%,6.5%,7.8%
06/01/2003,Skagit County                                               ,8.6%,6.5%,7.8%
06/01/2003,Skamania County                                             ,10.2%,6.5%,7.8%
06/01/2003,Snohomish County                                            ,7.4%,6.5%,7.8%
06/01/2003,Spokane County                                              ,7.9%,6.5%,7.8%
06/01/2003,Stevens County                                              ,9.6%,6.5%,7.8%
06/01/2003,Thurston County                                             ,7.1%,6.5%,7.8%
06/01/2003,Wahkiakum County                                            ,11.1%,6.5%,7.8%
06/01/2003,Walla Walla County                                          ,6.7%,6.5%,7.8%
06/01/2003,Whatcom County                                              ,7.4%,6.5%,7.8%
06/01/2003,Whitman County                                              ,6.6%,6.5%,7.8%
06/01/2003,Yakima County                                               ,8.8%,6.5%,7.8%
